Freguesia;PopResi;Concelho
Alvarenga;1057;Arouca
Chave;1270;Arouca
Escariz;2114;Arouca
Fermedo;1261;Arouca
Mansores;1100;Arouca
Moldes;1126;Arouca
Rossas;1491;Arouca
Santa Eulalia;2120;Arouca
Sao Miguel do Mato;550;Arouca
Tropeco;1086;Arouca
Uniao das freguesias de Arouca e Burgo;5124;Arouca
Uniao das freguesias de Cabreiros e Albergaria da Serra;185;Arouca
Uniao das freguesias de Canelas e Espiunca;1065;Arouca
Uniao das freguesias de Covelo de Paivo e Janarde;171;Arouca
Urro;900;Arouca
Varzea;534;Arouca
Espinho;10434;Espinho
Paramos;3127;Espinho
Silvalde;6108;Espinho
Uniao das freguesias de Anta e Guetim;11376;Espinho
Baguim do Monte (Rio Tinto);14387;Gondomar
Lomba;1286;Gondomar
Rio Tinto;51086;Gondomar
Uniao das freguesias de Fanzeres e Sao Pedro da Cova;37756;Gondomar
Uniao das freguesias de Foz do Sousa e Covelo;7040;Gondomar
Uniao das freguesias de Gondomar (Sao Cosme), Valbom e Jovim;47427;Gondomar
Uniao das freguesias de Melres e Medas;5295;Gondomar
Aguas Santas;26635;Maia
Castelo da Maia;18588;Maia
Cidade da Maia;40535;Maia
Folgosa;3605;Maia
Milheiros;4762;Maia
Moreira;13094;Maia
Nogueira e Silva Escura;8381;Maia
Pedroucos;11568;Maia
Sao Pedro Fins;1816;Maia
Vila Nova da Telha;6004;Maia
Uniao das freguesias de Custoias, Leca do Balio e Guifoes;44048;Matosinhos
Uniao das freguesias de Matosinhos e Leca da Palmeira;49046;Matosinhos
Uniao das freguesias de Perafita, Lavra e Santa Cruz do Bispo;29653;Matosinhos
Uniao das freguesias de Sao Mamede de Infesta e Senhora da Hora;49839;Matosinhos
Carregosa;3466;Oliveira de Azemeis
Cesar;3073;Oliveira de Azemeis
Fajoes;2896;Oliveira de Azemeis
Loureiro;3638;Oliveira de Azemeis
Macieira de Sarnes;1856;Oliveira de Azemeis
Ossela;1918;Oliveira de Azemeis
Sao Martinho da Gandara;1854;Oliveira de Azemeis
Sao Roque;5025;Oliveira de Azemeis
Uniao das freguesias de Nogueira do Cravo e Pindelo;5098;Oliveira de Azemeis
Uniao das freguesias de Oliveira de Azemeis, Santiago de Riba-Ul, Ul, Macinhata da Seixa e Madail;20667;Oliveira de Azemeis
Uniao das freguesias de Pinheiro da Bemposta, Travanca e Palmaz;6736;Oliveira de Azemeis
Vila de Cucujaes;9963;Oliveira de Azemeis
Aguiar de Sousa;1582;Paredes
Astromil;1067;Paredes
Baltar;4724;Paredes
Beire;2014;Paredes
Cete;3091;Paredes
Cristelo;1761;Paredes
Duas Igrejas;3649;Paredes
Gandra;6967;Paredes
Lordelo;9107;Paredes
Louredo;1384;Paredes
Parada de Todeia;1793;Paredes
Paredes;20591;Paredes
Rebordosa;8496;Paredes
Recarei;4479;Paredes
Sobreira;4124;Paredes
Sobrosa;2497;Paredes
Vandoma;2306;Paredes
Vilela;4739;Paredes
Bonfim;22981;Porto
Campanha;29674;Porto
Paranhos;45890;Porto
Ramalde;38849;Porto
Uniao das freguesias de Aldoar, Foz do Douro e Nevogilde;29087;Porto
Uniao das freguesias de Cedofeita, Santo Ildefonso, Se, Miragaia, Sao Nicolau e Vitoria;37434;Porto
Uniao das freguesias de Lordelo do Ouro e Massarelos;27913;Porto
Balazar;2482;Povoa de Varzim
Estela;2287;Povoa de Varzim
Laundos;1937;Povoa de Varzim
Rates;2472;Povoa de Varzim
Uniao das freguesias da Povoa de Varzim, Beiriz e Argivai;35437;Povoa de Varzim
Uniao das freguesias de Agucadoura e Navais;5389;Povoa de Varzim
Uniao das freguesias de Aver o Mar, Amorim e Terroso;14253;Povoa de Varzim
Argoncilhe;8184;Santa Maria da Feira
Arrifana;6311;Santa Maria da Feira
Escapaes;3316;Santa Maria da Feira
Fiaes;7097;Santa Maria da Feira
Fornos;3436;Santa Maria da Feira
Lourosa;8005;Santa Maria da Feira
Milheiros de Poiares;3594;Santa Maria da Feira
Mozelos;7297;Santa Maria da Feira
Nogueira da Regedoura;5740;Santa Maria da Feira
Pacos de Brandao;4775;Santa Maria da Feira
Rio Meao;4814;Santa Maria da Feira
Romariz;2739;Santa Maria da Feira
Sanguedo;3475;Santa Maria da Feira
Santa Maria de Lamas;4748;Santa Maria da Feira
Sao Joao de Ver;11029;Santa Maria da Feira
Sao Paio de Oleiros;3661;Santa Maria da Feira
Uniao das freguesias de Caldas de Sao Jorge e Pigeiros;3689;Santa Maria da Feira
Uniao das freguesias de Canedo, Vale e Vila Maior;8882;Santa Maria da Feira
Uniao das freguesias de Lobao, Giao, Louredo e Guisande;9649;Santa Maria da Feira
Uniao das freguesias de Santa Maria da Feira, Travanca, Sanfins e Espargo;19792;Santa Maria da Feira
Uniao de freguesias de Sao Miguel de Souto e Mosteiro;6482;Santa Maria da Feira
Agrela;1486;Santo Tirso
Agua Longa;2342;Santo Tirso
Aves;7948;Santo Tirso
Monte Cordova;3850;Santo Tirso
Negrelos (Sao Tome);3755;Santo Tirso
Rebordoes;3130;Santo Tirso
Reguenga;1427;Santo Tirso
Roriz;3308;Santo Tirso
Uniao das freguesias de Areias, Sequeiro, Lama e Palmeira;6369;Santo Tirso
Vila Nova do Campo;6315;Santo Tirso
Uniao das freguesias de Carreira e Refojos de Riba de Ave;2042;Santo Tirso
Uniao das freguesias de Lamelas e Guimarei;1567;Santo Tirso
